Emirate Name En|Emirate Name Ar|Issuance Authority En|Issuance Authority Ar|Issuance Authority Branch En|Issuance Authority Branch Ar|BL #|BL CBLS #|BL Name Ar|BL Name En|BL Est Date|BL Exp Date|BL Status EN|BL Status AR|BL Legal Type En|BL Legal Type Ar|BL Type En|BL Type Ar|BL Full Address|License Latitude|License Longitude|License Branch Flag|Parent Licence - License Number|Parent License Issuance Authority En|Parent License Issuance Authority Ar|Relationship Type En|Relationship Type Ar|Owner Nationality En|Owner Nationality Ar|Owner Gender|Business Activity Code|Business Activity Desc En|Business Activity Desc Ar|license_pk
Dubai|دبي|Dubai South|دبي الجنوب|Main|رئيسي|BL-216739|CBLS-13278|Ltd Management ﺮﺳﺍﻭﺪﻟﺍ ﺔﻛﺮﺷ|Rodriguez, Figueroa and Sanchez Management|15/11/2022|12/10/2023|Active|نشط|LLC|ذ.م.م|Professional|مهني|01338 Anna Stravenue Suite 379 Lisatown, WV 21427|25.0735°N|55.0558°E|N||||Partner|شريك|Other|آخر|Male|620100|Computer programming activities|أنشطة برمجة الكمبيوتر|b501443f1a37b16dcd08c9bfe5aa4368
Dubai|دبي|Dubai South|دبي الجنوب|Main|رئيسي|BL-131244|CBLS-22280|Consultancy ﻱﺩﻭﺍﺪﻟﺍ-ﺮﺳﺍﻭﺪﻟﺍ ﺔﻛﺮﺷ|Henderson, Ramirez and Lewis Consultancy|08/04/2019|16/04/2020|Active|نشط|LLC|ذ.م.م|Professional|مهني|407 Teresa Lane Apt. 849 Barbaraland, AZ 87174|25.0698°N|55.2408°E|N||||Owner|مالك|Emirati|إماراتي|Male|477100|Retail sale of clothing, footwear and textiles|تجارة التجزئة في الملابس والأحذية والمنسوجات|80aee54136882034261bf3df92256c6c
Dubai|دبي|Department of Economic Development|دائرة التنمية الاقتصادية|Main|رئيسي|BL-717889|CBLS-46463|Group Services ﻢﻴﻟﺪﻟﺍ ﺔﻛﺮﺷ|Mejia Inc Services|01/04/2018|19/03/2019|Active|نشط|LLC|ذ.م.م|Professional|مهني|55341 Amanda Gardens Apt. 764 Lake Mark, WI 07832|25.2276°N|55.0639°E|N||||Owner|مالك|Other|آخر|Male|829900|Business Support Service Activities|أنشطة خدمات دعم الأعمال|221b01ccccae2830d285132a398aac15
Dubai|دبي|Department of Economic Development|دائرة التنمية الاقتصادية|Main|رئيسي|BL-197251|CBLS-59797|Consultancy ﺔﺸﺒﺠﻟﺍ-ﺮﻤﺳﻷﺍ ﻮﻨﺑ ﺔﻛﺮﺷ|Underwood LLC Consultancy|30/07/2017|07/07/2018|Active|نشط|LLC|ذ.م.م|Professional|مهني|USNV Lewis FPO AA 52357|25.1077°N|55.1376°E|N||||Partner|شريك|Other|آخر|Female|829900|Business Support Service Activities|أنشطة خدمات دعم الأعمال|e346ff9b8e3107d3bc5b408719ac5304
Dubai|دبي|Department of Economic Development|دائرة التنمية الاقتصادية|Main|رئيسي|BL-182627|CBLS-82357|Services ﻑﺮﺷ and ﺔﻴﻣﺃ ﻮﻨﺑ ,ﺩﺍﺮﻣ ﺔﻛﺮﺷ|Ellis, Baker and Wright Services|11/06/2024|11/05/2025|Active|نشط|LLC|ذ.م.م|Professional|مهني|87101 Courtney Turnpike Carlsonfurt, MS 78605|25.2488°N|55.2474°E|Y||||Partner|شريك|Other|آخر|Male|620100|Computer programming activities|أنشطة برمجة الكمبيوتر|969a818855a02546432223edd00d0133
Dubai|دبي|Department of Economic Development|دائرة التنمية الاقتصادية|Main|رئيسي|BL-910620|CBLS-47930|Ltd Consultancy ﻲﻠﺣﺎﺴﻟﺍ ﺔﻛﺮﺷ|Rice-Maddox Consultancy|25/04/2024|20/04/2025|Active|نشط|Free Zone Establishment|مؤسسة منطقة حرة|Professional|مهني|46270 Stanton Track Apt. 814 East Nathaniel, GA 71198|25.2566°N|55.3466°E|N||||Partner|شريك|Other|آخر|Female|829900|Business Support Service Activities|أنشطة خدمات دعم الأعمال|5771a1c4c60c899f12823722bb8bf765
Dubai|دبي|Dubai South|دبي الجنوب|Main|رئيسي|BL-319684|CBLS-97841|LLC LLC ﻡﺍﺬﺟ ﺔﻛﺮﺷ|Sellers, George and Burns LLC|11/11/2017|11/10/2018|Active|نشط|Civil Company|شركة مدنية|Commercial|تجاري|71822 Arroyo Expressway Allisonchester, IL 71187|25.2105°N|55.2734°E|N||||Owner|مالك|Indian|هندي|Male|620100|Computer programming activities|أنشطة برمجة الكمبيوتر|e1197723ee54ca8509b257c322349414
Dubai|دبي|DMCC|مركز دبي للسلع المتعددة|Main|رئيسي|BL-497887|CBLS-45382|LLC ﺔﻋﺎﻀﻗ and ﻡﺎﻴﺻ ,ﺓﺩﻮﺟ ﺔﻛﺮﺷ|Vaughn, Marquez and Ross LLC|25/12/2019|06/11/2020|Cancelled|ملغاة|Sole Establishment|مؤسسة فردية|Commercial|تجاري|0983 Adrian Station East Carloston, VI 43810|25.0659°N|55.1297°E|N||||Partner|شريك|Emirati|إماراتي|Male|702000|Management consultancy activities|أنشطة استشارات الإدارة|8ae41c8c3cf7ac3331994ac65d4c2c57
Abu Dhabi|أبو ظبي|Abu Dhabi Department of Economic Development|دائرة التنمية الاقتصادية في أبوظبي|Main|رئيسي|BL-380746|CBLS-18675|Services ﻡﻮﻘﺒﻟﺍ ﻖﻳﺯﺍﺮﻣ and ﺭﺎﺠﻨﻟﺍ ,ﻱﻭﺎﻜﻋ ﺔﻛﺮﺷ|Palmer LLC Services|16/10/2016|09/10/2017|Active|نشط|Civil Company|شركة مدنية|Professional|مهني|USCGC Sanchez FPO AA 53855|24.4739°N|54.5269°E|N||||Owner|مالك|Egyptian|مصري|Male|477100|Retail sale of clothing, footwear and textiles|تجارة التجزئة في الملابس والأحذية والمنسوجات|789e6be718959aa3b4ca04c90d550312
Dubai|دبي|Department of Economic Development|دائرة التنمية الاقتصادية|Main|رئيسي|BL-581141|CBLS-28726|Management ﻡﻮﻤﺳ-ﻒﻴﻘﺛ ﺔﻛﺮﺷ|Davis Ltd Management|31/07/2019|11/07/2020|Active|نشط|Civil Company|شركة مدنية|Professional|مهني|106 Mcbride Coves East James, NV 18874|25.0419°N|55.2980°E|N||||Partner|شريك|Indian|هندي|Male|620100|Computer programming activities|أنشطة برمجة الكمبيوتر|255c72279fce9b58dbbe8af711a27b00
